timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,symbol
2024-03-05,0.64760000,0.66850000,0.53860000,0.59120000,1554937673.00000000,2024-03-05 23:59:59.999,971210812.60120000,1151483,745722854.00000000,466623879.82960000,XRPUSDT
2024-03-06,0.59130000,0.62400000,0.57540000,0.61210000,832599729.00000000,2024-03-06 23:59:59.999,501543922.86420000,589115,416245016.00000000,250773559.55520000,XRPUSDT
2024-03-07,0.61210000,0.63940000,0.60640000,0.62700000,789389082.00000000,2024-03-07 23:59:59.999,491723629.87080000,508718,383645472.00000000,238998829.08170000,XRPUSDT
2024-03-08,0.62710000,0.63380000,0.60000000,0.62000000,648298999.00000000,2024-03-08 23:59:59.999,403359268.72970000,446228,328285099.00000000,204286814.54050000,XRPUSDT
2024-03-09,0.62000000,0.63230000,0.61580000,0.61970000,399105613.00000000,2024-03-09 23:59:59.999,248795359.00000000,268485,195175068.00000000,121642577.88270000,XRPUSDT
2024-03-10,0.61980000,0.62780000,0.59650000,0.60800000,431213931.00000000,2024-03-10 23:59:59.999,265437261.59920000,287088,207140038.00000000,127487939.54650000,XRPUSDT
2024-03-11,0.60800000,0.74400000,0.58300000,0.72300000,2035920643.00000000,2024-03-11 23:59:59.999,1397085361.72440000,1463819,1031600139.00000000,706794694.49810000,XRPUSDT
2024-03-12,0.72300000,0.73320000,0.65850000,0.68800000,1164823272.00000000,2024-03-12 23:59:59.999,809486248.40530000,924010,570914503.00000000,396867270.57700000,XRPUSDT
2024-03-13,0.68800000,0.70260000,0.66840000,0.68910000,629718012.00000000,2024-03-13 23:59:59.999,433287999.43290000,451985,319099699.00000000,219548097.46910000,XRPUSDT
2024-03-14,0.68910000,0.70770000,0.63780000,0.66900000,866913230.00000000,2024-03-14 23:59:59.999,586214978.96120000,668294,428415640.00000000,289875206.75400000,XRPUSDT
2024-03-15,0.66900000,0.67590000,0.59600000,0.63420000,1046569627.00000000,2024-03-15 23:59:59.999,659887905.84840000,787687,500558874.00000000,315726640.28650000,XRPUSDT
2024-03-16,0.63410000,0.64790000,0.59150000,0.60310000,637944105.00000000,2024-03-16 23:59:59.999,396629023.85960000,454113,303271484.00000000,188599919.59700000,XRPUSDT
2024-03-17,0.60300000,0.62490000,0.58690000,0.61910000,520417354.00000000,2024-03-17 23:59:59.999,317996138.21030000,344847,249891823.00000000,152698355.08150000,XRPUSDT
2024-03-18,0.61910000,0.66860000,0.59460000,0.64530000,868146942.00000000,2024-03-18 23:59:59.999,539213807.37000000,586138,433122082.00000000,269421059.97470000,XRPUSDT
2024-03-19,0.64530000,0.64890000,0.57120000,0.58450000,1036258366.00000000,2024-03-19 23:59:59.999,622800830.97440000,785812,497471432.00000000,298873446.48460000,XRPUSDT
2024-03-20,0.58450000,0.61870000,0.56810000,0.61070000,802805428.00000000,2024-03-20 23:59:59.999,474979753.17270000,533683,392028360.00000000,231839225.78070000,XRPUSDT
2024-03-21,0.61080000,0.65460000,0.59720000,0.64040000,799317843.00000000,2024-03-21 23:59:59.999,499670072.38170000,548573,394571146.00000000,246730104.94160000,XRPUSDT
2024-03-22,0.64030000,0.64540000,0.59850000,0.61150000,580029104.00000000,2024-03-22 23:59:59.999,359961089.18950000,414977,276614192.00000000,171671519.48960000,XRPUSDT
2024-03-23,0.61150000,0.63290000,0.60320000,0.61670000,278695151.00000000,2024-03-23 23:59:59.999,173110244.52160000,207459,135568628.00000000,84214964.62400000,XRPUSDT
2024-03-24,0.61680000,0.63580000,0.61330000,0.63250000,304667124.00000000,2024-03-24 23:59:59.999,191365610.38910000,225821,148236150.00000000,93104037.71700000,XRPUSDT
2024-03-25,0.63260000,0.66290000,0.62630000,0.64060000,598260361.00000000,2024-03-25 23:59:59.999,383334099.93510000,379954,296007857.00000000,189673542.12160000,XRPUSDT
2024-03-26,0.64050000,0.65300000,0.62500000,0.63170000,483920076.00000000,2024-03-26 23:59:59.999,309446906.75860000,302204,243003758.00000000,155354197.42360000,XRPUSDT
2024-03-27,0.63170000,0.63490000,0.60550000,0.61180000,576105586.00000000,2024-03-27 23:59:59.999,357401973.35550000,333499,286164656.00000000,177568130.15340000,XRPUSDT
2024-03-28,0.61190000,0.63780000,0.60330000,0.62440000,500717330.00000000,2024-03-28 23:59:59.999,311430816.43760000,290960,248611945.00000000,154624434.52630000,XRPUSDT
2024-03-29,0.62430000,0.64550000,0.60870000,0.63010000,536802072.00000000,2024-03-29 23:59:59.999,336042616.72560000,329285,261441012.00000000,163691594.40160000,XRPUSDT
2024-03-30,0.63000000,0.63720000,0.61780000,0.62120000,275028227.00000000,2024-03-30 23:59:59.999,172448766.20150000,187299,132147196.00000000,82873447.77640000,XRPUSDT
2024-03-31,0.62110000,0.63010000,0.62040000,0.62920000,181972969.00000000,2024-03-31 23:59:59.999,113924710.71400000,124119,88215852.00000000,55238378.19590000,XRPUSDT
2024-04-01,0.62920000,0.63360000,0.59470000,0.61100000,546287523.00000000,2024-04-01 23:59:59.999,333965195.55890000,313516,269122892.00000000,164541739.09840000,XRPUSDT
2024-04-02,0.61100000,0.61850000,0.57900000,0.58540000,648286441.00000000,2024-04-02 23:59:59.999,384513388.80920000,368400,315905998.00000000,187395992.86560000,XRPUSDT
2024-04-03,0.58540000,0.59300000,0.56630000,0.57420000,493903933.00000000,2024-04-03 23:59:59.999,287020380.97410000,267241,240948634.00000000,140013500.50550000,XRPUSDT
2024-04-04,0.57410000,0.61760000,0.56230000,0.59350000,701629386.00000000,2024-04-04 23:59:59.999,413917599.60800000,392369,354569321.00000000,209300372.22000000,XRPUSDT
2024-04-05,0.59340000,0.59390000,0.56870000,0.58710000,421470900.00000000,2024-04-05 23:59:59.999,245182996.94320000,231929,212439315.00000000,123629495.74580000,XRPUSDT
2024-04-06,0.58700000,0.59880000,0.58520000,0.59300000,165404890.00000000,2024-04-06 23:59:59.999,97716359.60980000,104477,76618349.00000000,45275681.51730000,XRPUSDT
2024-04-07,0.59300000,0.60280000,0.58940000,0.59440000,210766117.00000000,2024-04-07 23:59:59.999,125604904.47720000,128342,99719573.00000000,59417074.85510000,XRPUSDT
2024-04-08,0.59450000,0.62650000,0.58810000,0.61470000,512812491.00000000,2024-04-08 23:59:59.999,312299000.76980000,300832,255847545.00000000,155714612.65200000,XRPUSDT
2024-04-09,0.61460000,0.64310000,0.60120000,0.61410000,648585747.00000000,2024-04-09 23:59:59.999,402883593.02980000,410065,310027016.00000000,192597089.56170000,XRPUSDT
2024-04-10,0.61400000,0.62040000,0.59280000,0.61720000,449695736.00000000,2024-04-10 23:59:59.999,273874315.88800000,312059,213013643.00000000,129745976.79390000,XRPUSDT
2024-04-11,0.61710000,0.62140000,0.60290000,0.60860000,316314812.00000000,2024-04-11 23:59:59.999,194033425.04450000,215714,154438228.00000000,94767548.11420000,XRPUSDT
2024-04-12,0.60850000,0.61590000,0.50680000,0.54680000,903224330.00000000,2024-04-12 23:59:59.999,509327542.68300000,595563,425758293.00000000,240534492.86290000,XRPUSDT
2024-04-13,0.54680000,0.54910000,0.41880000,0.47880000,1199425184.00000000,2024-04-13 23:59:59.999,589051261.48600000,793061,577697182.00000000,284242702.26320000,XRPUSDT
2024-04-14,0.47880000,0.50730000,0.46370000,0.50330000,820741178.00000000,2024-04-14 23:59:59.999,397952095.54410000,513428,416199749.00000000,201741443.53920000,XRPUSDT
2024-04-15,0.50340000,0.51890000,0.48110000,0.49770000,680790708.00000000,2024-04-15 23:59:59.999,341529467.52710000,417628,335169641.00000000,168080750.52820000,XRPUSDT
2024-04-16,0.49770000,0.50210000,0.47540000,0.49650000,535103938.00000000,2024-04-16 23:59:59.999,262546490.68490000,347421,255264427.00000000,125244039.40940000,XRPUSDT
2024-04-17,0.49650000,0.50810000,0.47150000,0.49510000,496078590.00000000,2024-04-17 23:59:59.999,243899788.06040000,330326,243164468.00000000,119590561.51220000,XRPUSDT
